epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88221,0,13.3558,0,0,0,0,0,0,15.7628,0,2e-05,2e-05,2e-05
2,15.0248,0,13.3422,0,0,0,0,0,0,15.7775,0,4.97525e-05,4.97525e-05,4.97525e-05
3,22.2499,0,13.3001,0,0,0,0,0,0,15.796,0,7.9208e-05,7.9208e-05,7.9208e-05
4,28.99,0,13.2439,0,0,0,0,0,0,15.8211,0,0.000108366,0.000108366,0.000108366
5,35.3056,0,13.192,0,0,0,0,0,0,15.8211,0,0.000137228,0.000137228,0.000137228
6,42.7925,0,13.1654,0,0,0,0,0,0,15.854,0,0.000165793,0.000165793,0.000165793
7,49.7744,0,13.0778,0,0,0,0,0,0,15.854,0,0.00019406,0.00019406,0.00019406
8,56.4704,0,13.09,0,0,0,0,0,0,15.854,0,0.00022203,0.00022203,0.00022203
9,63.8455,0,12.9993,0,0,0,0,0,0,15.8943,0,0.000249704,0.000249704,0.000249704
10,70.595,0,12.9375,0,0,0,0,0,0,15.8943,0,0.00027708,0.00027708,0.00027708
11,77.6504,0,12.9395,0,0,0,0,0,0,15.8943,0,0.00030416,0.00030416,0.00030416
12,84.3225,0,12.9251,0,0,0,0,0,0,15.8943,0,0.000330942,0.000330942,0.000330942
13,90.9822,0,12.8532,0,0,0,0,0,0,15.9176,0,0.000357428,0.000357428,0.000357428
14,97.7773,0,12.7942,0,0,0,0,0,0,15.9176,0,0.000383617,0.000383617,0.000383617
15,104.167,0,12.801,0,0,0,0,0,0,15.9176,0,0.000409508,0.000409508,0.000409508
16,110.474,0,12.789,0,0,0,0,0,0,15.9176,0,0.000435103,0.000435103,0.000435103
17,117.36,0,12.7937,0,0,0,0,0,0,15.9176,0,0.0004604,0.0004604,0.0004604
18,124.117,0,12.7986,0,0,0,0,0,0,15.8321,0,0.000485401,0.000485401,0.000485401
19,130.628,0,12.6029,0,0,0,0,0,0,15.8321,0,0.000510104,0.000510104,0.000510104
20,137.515,0,12.5866,0,0,0,0,0,0,15.8321,0,0.000534511,0.000534511,0.000534511
21,144.397,0,12.5969,0,0,0,0,0,0,15.8321,0,0.00055862,0.00055862,0.00055862
22,151.3,0,12.6027,0,0,0,0,0,0,15.8321,0,0.000582432,0.000582432,0.000582432
23,158.217,0,12.6067,0,0,0,0,0,0,15.8321,0,0.000605948,0.000605948,0.000605948
24,165.185,0,12.5871,0,0,0,0,0,0,15.8321,0,0.000629166,0.000629166,0.000629166
25,172.15,0,12.6007,0,0,0,0,0,0,15.8321,0,0.000652088,0.000652088,0.000652088
26,178.933,0,12.6049,0,0,0,0,0,0,15.8321,0,0.000674713,0.000674713,0.000674713
27,185.759,0,12.4038,0,0,0,0,0,0,15.465,0,0.00069704,0.00069704,0.00069704
28,192.188,0,12.3223,0,0,0,0,0,0,15.465,0,0.00071907,0.00071907,0.00071907
29,198.682,0,12.2948,0,0,0,0,0,0,15.465,0,0.000740804,0.000740804,0.000740804
30,202.639,0,12.29,0,0,0,0,0,0,15.465,0,0.00076224,0.00076224,0.00076224
31,206.19,0,12.2972,0,0,0,0,0,0,15.465,0,0.00078338,0.00078338,0.00078338
32,212.611,0,12.3063,0,0,0,0,0,0,15.465,0,0.000804223,0.000804223,0.000804223
33,360.299,0,12.3045,0,0,0,0,0,0,15.465,0,0.000824768,0.000824768,0.000824768
34,364.196,0,12.3028,0,0,0,0,0,0,15.465,0,0.00083665,0.00083665,0.00083665
35,367.733,0,12.3032,0,0,0,0,0,0,15.465,0,0.0008317,0.0008317,0.0008317
36,370.884,0,12.3042,0,0,0,0,0,0,15.465,0,0.00082675,0.00082675,0.00082675
37,374.696,0,12.2986,0,0,0,0,0,0,17.5722,0,0.0008218,0.0008218,0.0008218
38,377.984,0,11.9673,0,0,0,0,0,0,17.5722,0,0.00081685,0.00081685,0.00081685
39,381.325,0,11.9729,0,0,0,0,0,0,17.5722,0,0.0008119,0.0008119,0.0008119
40,384.463,0,11.9731,0,0,0,0,0,0,17.5722,0,0.00080695,0.00080695,0.00080695
41,387.483,0,11.9693,0,0,0,0,0,0,17.5722,0,0.000802,0.000802,0.000802
42,390.469,0,11.9611,0,0,0,0,0,0,17.5722,0,0.00079705,0.00079705,0.00079705
